,r,r,r,r,r,r,r,r,r,r,mean_reward,timesteps
109,-1256.959154,-1143.945937,-1376.75749,-1214.683655,-1351.732083,-1496.45527,-1274.9691,-1589.9994060000001,-975.630307,-1225.874759,-1290.7007161,22000
110,-1323.467801,-1753.038978,-1181.235193,-1185.951841,-1029.8737039999999,-1450.42527,-1784.257563,-1036.294794,-896.310658,-1304.083007,-1294.4938808999998,22200
111,-1151.382663,-1463.4242570000001,-1334.556908,-884.8492630000001,-1200.23448,-1711.598714,-1422.929676,-799.498028,-893.098812,-1664.345749,-1252.5918550000001,22400
112,-1159.285824,-1292.063919,-1071.513613,-1574.870833,-1843.912223,-1582.486876,-1003.2225589999999,-897.970549,-1650.491498,-1834.0069989999997,-1390.9824893,22600
113,-869.261003,-1842.3956489999998,-1579.14142,-1518.559362,-1276.38382,-1377.615732,-1334.584173,-1588.512685,-1749.066973,-1339.70739,-1447.5228206999996,22800
114,-1831.015593,-975.189238,-1649.72237,-1055.3951769999999,-965.8487359999999,-1625.030791,-1731.202875,-1777.4889219999998,-1053.751475,-1853.6869379999998,-1451.8332115,23000
115,-1659.385633,-1781.2013969999998,-1069.526624,-895.8734919999999,-1182.7161119999998,-1869.5855170000002,-1785.3495879999998,-1079.237726,-1599.497656,-1158.665915,-1408.1039659999997,23200
116,-1802.928473,-1075.202426,-874.49444,-1261.19685,-1348.570625,-1581.5248980000001,-1044.2805859999999,-1048.015897,-1290.685374,-850.866816,-1217.7766385,23400
117,-1129.2466029999998,-1510.6368519999999,-1476.002659,-1433.528988,-1389.6530710000002,-1511.439231,-1241.070679,-1166.0366900000001,-844.9352060000001,-984.5041980000001,-1268.7054177000002,23600
118,-1252.676593,-1407.67101,-1391.1399789999998,-996.781371,-1117.439562,-1503.464085,-1656.6445509999999,-923.663293,-848.194575,-1459.19009,-1255.6865108999998,23800
119,-1472.571091,-1576.146436,-1440.5029880000002,-889.2520289999999,-1178.159929,-1601.0799470000002,-1316.990761,-1125.6268300000002,-1318.847426,-1434.650342,-1335.3827779000003,24000
120,-1691.5133239999998,-852.8912130000001,-1097.1016869999999,-881.284264,-1458.645367,-1805.510009,-1780.097719,-1524.561217,-868.1089810000001,-1044.680397,-1300.4394177999998,24200
121,-1161.474585,-1146.885324,-1180.041105,-1374.879876,-1659.88511,-1794.210707,-1469.603111,-1261.83374,-670.716234,-882.2497789999999,-1260.1779571,24400
122,-1268.793085,-1167.820388,-1546.741194,-1245.988111,-1631.0393689999999,-1662.947253,-1296.081081,-1225.2329539999998,-891.8947939999999,-964.6559060000001,-1290.1194135,24600
123,-1689.690257,-1152.363592,-1402.1031970000001,-1336.986456,-1292.911633,-1567.092034,-1347.810144,-1045.263802,-758.0635440000001,-1331.6020039999999,-1292.3886662999998,24800
124,-1723.7276760000002,-1829.9920359999999,-1429.160957,-1099.241469,-1290.675716,-1553.879283,-1682.1034350000002,-1263.07714,-1197.575808,-878.0112460000001,-1394.7444766,25000
125,-1460.8142289999998,-1453.953619,-1206.6852720000002,-908.187714,-975.818215,-1806.445312,-1152.026737,-1655.245024,-928.232683,-1846.730959,-1339.4139764,25200
126,-1167.655644,-1483.122359,-1312.454622,-1047.753097,-1646.859193,-1551.782295,-1459.423583,-1083.376558,-1691.2653149999999,-992.1724539999999,-1343.5865119999999,25400
127,-1188.633822,-1342.56295,-1280.002466,-1127.247896,-900.227954,-1725.2351899999999,-1272.44489,-1855.784196,-916.155168,-1169.417972,-1277.7712503999999,25600
128,-1052.920493,-1410.855934,-1045.824998,-1542.888716,-1042.343245,-1742.237972,-1588.534662,-1231.4951210000002,-1062.90687,-1054.4347460000001,-1277.4442757000002,25800
129,-1211.521507,-1095.789057,-1828.241697,-896.700684,-1202.632573,-1718.0722640000001,-1086.82352,-1351.020522,-1001.5723220000001,-963.766343,-1235.6140489,26000
130,-1705.9109780000001,-1684.578594,-970.233175,-1169.6953839999999,-1263.419144,-1636.832843,-1267.576987,-1181.9992539999998,-906.411066,-970.060565,-1275.6717990000002,26200
131,-1159.184059,-1224.676447,-1375.9920339999999,-1193.057833,-941.8176269999999,-1580.458903,-1130.645497,-1337.199274,-1044.369838,-1151.50144,-1213.8902952,26400
132,-1553.844299,-1541.402616,-1199.704931,-947.907414,-1177.743612,-1671.154483,-1451.1216140000001,-1088.66678,-898.367597,-991.890758,-1252.1804104,26600
133,-1086.172581,-1840.057164,-1263.45726,-1343.820768,-976.1703869999999,-1677.342601,-856.102717,-1272.0328769999999,-967.160229,-1188.394351,-1247.0710935,26800
134,-1341.3707789999999,-1433.250758,-1440.187401,-993.869077,-1281.423708,-1506.388983,-1191.346383,-1442.275758,-1000.69095,-1624.429143,-1325.523294,27000
135,-1669.46967,-1432.2991060000002,-1207.626595,-1096.009678,-987.5524859999999,-1614.10679,-1455.228451,-1462.216705,-1516.30827,-1028.5317810000001,-1346.9349531999999,27200
136,-1766.7239,-1721.780382,-998.231382,-1082.415401,-1588.696013,-1761.082214,-1161.823881,-1448.422467,-1864.759449,-1610.119704,-1500.4054793,27400
137,-1436.600758,-1623.7107039999999,-1246.773594,-1794.677179,-1177.8260810000002,-1596.433522,-1582.5399439999999,-1834.7390699999999,-1492.454837,-1261.927776,-1504.7683465,27600
138,-1532.150531,-1882.054075,-1774.0594879999999,-1279.62905,-1055.709803,-1805.8848010000002,-1696.2629149999998,-1687.489045,-1518.276544,-1000.231472,-1523.1747724,27800
139,-1878.152155,-1526.150288,-1257.4215390000002,-951.782997,-1090.466753,-1850.9648,-1770.1374879999998,-1479.063684,-1196.068915,-1442.5194390000001,-1444.2728058,28000
140,-1712.248595,-1398.23932,-980.184972,-970.088426,-1028.039841,-1867.452273,-1345.6083039999999,-1099.121188,-814.465967,-1119.413569,-1233.4862454999998,28200
141,-1608.102282,-1780.4917100000002,-989.602187,-897.9451339999999,-1337.8925570000001,-1655.304808,-1219.376393,-969.1500990000001,-747.625022,-1145.780203,-1235.1270395000001,28400
142,-1470.778147,-1575.482408,-891.4485369999999,-1206.556574,-1030.235349,-1618.471943,-1173.432908,-971.486246,-748.949027,-1478.06702,-1216.4908159000001,28600
143,-1482.887669,-1876.505261,-1597.886273,-896.41861,-1064.0091439999999,-1568.4382640000001,-1162.647262,-1014.926926,-1441.4354039999998,-1136.9471939999999,-1324.2102006999999,28800
